record_id,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis,disease_history,vaccination_status,treatment_history,milk_yield_l_day,scc_cells_ml,milk_conductivity_ms_cm,milk_temperature_c,body_temperature_c,udder_surface_temperature_c,activity_percent,rumination_min_day,feeding_behavior_score,water_intake_l_day,feed_quality_score,hygiene_score,housing_condition_score,milking_hygiene_score,worker_hygiene_score,milking_frequency_per_day,milking_schedule,ambient_temperature_c,relative_humidity_percent,climate_risk,co_morbidity,sensor_status,ai_risk_score,risk_category,mastitis_within_7_14_days,forecast_lead_days
REC-00012,FARM-018,COW-215,Sahiwal,8.0,2,305,0,No previous mastitis,Partially up to date,Antibiotic treatment,10.1,190079,6.25,38.63,38.69,37.81,72.0,644.0,6.8,65.0,6.7,6.0,4.3,6.8,10.0,2,Morning/Evening,25.3,70.7,Low,0,Normal,16.0,No Risk,0,0
REC-00013,FARM-013,COW-331,Gir,5.8,4,65,0,No previous mastitis,Up to date,None,6.2,114687,4.84,39.19,39.24,37.67,54.2,542.0,5.5,47.2,6.7,9.4,4.6,9.4,6.6,2,Morning/Evening,26.5,73.0,Low,0,Normal,17.1,No Risk,0,0
REC-00014,FARM-037,COW-459,HF Cross,5.7,6,247,1,Previous mastitis,Partially up to date,None,15.65,198627,5.14,38.65,38.86,38.19,93.2,492.0,6.2,50.2,8.1,6.0,7.9,6.0,7.3,2,Morning/Noon/Evening,37.3,95.0,High,0,Normal,16.2,No Risk,0,0
REC-00015,FARM-022,COW-088,HF Cross,2.0,2,165,0,No previous mastitis,Partially up to date,None,15.98,291870,5.24,39.0,39.0,38.28,72.2,528.0,9.0,45.0,6.8,6.8,7.0,8.9,8.7,2,Morning/Evening,31.9,41.7,Moderate,1,Normal,6.2,No Risk,0,0
REC-00016,FARM-012,COW-373,Holstein Friesian,10.1,5,179,0,No previous mastitis,Up to date,None,16.3,157436,5.38,39.12,39.33,,83.7,336.0,5.7,48.3,6.9,7.3,7.3,9.7,7.6,2,Morning/Evening,25.8,78.7,Moderate,0,Normal,9.1,No Risk,0,0
REC-00017,FARM-002,COW-100,Jersey Cross,7.8,6,54,0,No previous mastitis,Partially up to date,None,13.33,181139,5.59,39.58,39.56,38.09,85.4,444.0,9.6,79.7,9.0,6.7,8.6,8.1,5.7,2,Morning/Evening,26.6,74.7,Low,1,Intermittent,15.5,No Risk,0,0
REC-00018,FARM-037,COW-360,Other,6.6,1,46,0,No previous mastitis,Partially up to date,Anti-inflammatory treatment,7.24,259218,6.49,38.51,38.58,37.58,74.2,371.0,5.3,66.6,8.8,8.9,6.4,6.5,9.5,2,Morning/Evening,28.8,76.9,Moderate,0,Maintenance,39.0,Low Risk,0,0
REC-00019,FARM-007,COW-152,Holstein Friesian,5.3,1,178,0,No previous mastitis,Partially up to date,Anti-inflammatory treatment,17.5,157957,5.09,38.77,38.81,37.44,69.5,503.0,6.7,48.3,7.9,8.7,8.2,8.3,8.5,2,Morning/Evening,27.1,51.7,Low,0,Normal,5.9,No Risk,0,0
REC-00020,FARM-026,COW-131,Jersey,2.0,3,7,0,No previous mastitis,Up to date,None,15.71,65960,5.35,38.4,38.4,37.93,81.5,582.0,7.5,47.8,6.0,8.4,6.0,8.9,9.7,2,Morning/Evening,29.1,70.4,Low,0,Intermittent,3.7,No Risk,0,0
REC-00021,FARM-026,COW-150,Jersey,5.5,3,84,0,No previous mastitis,Up to date,None,16.39,228559,4.72,38.61,38.69,37.96,80.4,473.0,6.2,81.0,7.9,9.4,7.1,8.9,5.6,3,Morning/Noon/Evening,28.3,90.5,Moderate,0,Normal,5.2,No Risk,0,0
REC-00022,FARM-024,COW-309,Sahiwal,5.3,3,128,0,No previous mastitis,Overdue,None,5.01,743846,6.48,38.35,38.39,38.11,85.4,529.0,7.5,67.9,8.5,7.0,7.3,8.0,6.7,2,Morning/Evening,29.4,54.2,Low,0,Normal,46.2,Moderate Risk,0,0
REC-00023,FARM-012,COW-258,HF Cross,2.7,5,214,1,Previous mastitis,Up to date,None,19.13,123224,6.26,39.06,39.14,38.05,64.1,438.0,8.1,34.4,7.2,9.1,5.3,3.5,9.2,2,Morning/Evening,20.0,76.6,Moderate,0,Intermittent,22.1,Low Risk,0,0
REC-00024,FARM-016,COW-344,Holstein Friesian,6.0,5,234,1,Previous mastitis,Up to date,None,12.76,440503,5.21,38.1,38.19,37.48,88.2,650.0,7.2,60.3,6.4,7.9,7.0,8.2,5.1,3,Morning/Evening,32.6,61.0,Moderate,1,Normal,9.1,No Risk,0,0
REC-00025,FARM-023,COW-492,HF Cross,7.4,3,12,0,No previous mastitis,Partially up to date,Supportive treatment,18.98,123640,6.16,39.19,39.28,37.83,76.0,529.0,9.0,66.4,6.7,5.8,8.4,9.0,6.1,2,Morning/Evening,26.5,88.2,Moderate,0,Normal,12.4,No Risk,0,0
REC-00026,FARM-040,COW-414,Jersey Cross,5.8,3,74,0,No previous mastitis,Up to date,None,12.98,298504,4.88,38.13,38.29,38.37,71.5,508.0,6.3,78.6,7.8,7.9,7.8,8.8,10.0,2,Morning/Evening,33.1,78.1,High,0,Normal,3.9,No Risk,0,0
REC-00027,FARM-009,COW-294,Jersey Cross,5.8,3,38,1,Previous mastitis,Up to date,None,13.22,399316,6.36,38.82,38.87,38.14,63.7,541.0,8.0,69.1,9.2,6.5,9.3,7.6,7.7,2,Morning/Noon/Evening,38.9,73.7,High,1,Maintenance,25.9,Low Risk,0,0
REC-00028,FARM-032,COW-386,Gir,5.9,4,149,0,No previous mastitis,Up to date,None,3.0,325537,6.31,38.53,38.48,37.9,67.9,486.0,8.7,48.0,6.2,4.9,6.3,7.4,7.5,2,Morning/Evening,22.5,59.1,Low,0,Normal,41.7,Moderate Risk,0,0
REC-00029,FARM-015,COW-192,HF Cross,4.6,3,172,0,No previous mastitis,Up to date,None,13.69,70935,5.31,38.73,38.7,38.28,54.8,325.0,6.0,55.0,8.0,4.9,9.4,7.4,6.4,2,Morning/Evening,29.4,66.3,Low,0,Normal,24.1,Low Risk,0,0
REC-00030,FARM-037,COW-444,HF Cross,6.6,5,214,0,No previous mastitis,Up to date,Antibiotic treatment,13.0,172499,5.74,38.74,38.9,37.7,90.4,536.0,10.0,76.2,8.8,5.8,7.4,7.8,9.4,2,Morning/Evening,27.1,63.7,Low,0,Normal,8.4,No Risk,0,0
REC-00031,FARM-013,COW-277,Jersey,7.9,1,237,1,Previous mastitis,Partially up to date,None,6.39,89064,4.83,38.98,39.1,37.72,82.1,505.0,8.0,60.4,8.0,9.5,6.2,8.4,8.7,2,Morning/Evening,30.8,57.5,Moderate,0,Normal,38.6,Low Risk,0,0
REC-00032,FARM-005,COW-161,Jersey,5.3,5,21,0,No previous mastitis,Up to date,None,12.86,181852,5.06,38.59,38.59,37.58,88.0,423.0,8.1,65.3,8.7,3.1,7.3,6.0,7.7,2,Morning/Evening,19.5,66.2,Low,0,Normal,10.1,No Risk,0,0
REC-00033,FARM-011,COW-460,HF Cross,3.8,3,231,1,Previous mastitis,Partially up to date,None,14.59,252263,5.73,38.41,38.41,38.06,83.1,389.0,6.1,50.4,6.7,6.8,5.9,8.9,9.7,2,Morning/Evening,27.4,44.6,Low,0,Normal,12.5,No Risk,0,0
REC-00034,FARM-010,COW-314,Holstein Friesian,2.7,1,208,0,No previous mastitis,Overdue,None,19.33,170695,6.08,38.87,38.82,38.01,79.2,548.0,6.7,53.1,7.2,8.0,7.5,6.4,5.5,2,Morning/Evening,25.3,76.7,Moderate,0,Normal,9.0,No Risk,0,0
REC-00035,FARM-013,COW-022,Jersey Cross,6.1,3,211,0,No previous mastitis,Overdue,None,9.91,168861,5.43,38.71,38.8,38.1,84.7,505.0,7.8,62.5,5.6,7.0,4.4,5.8,7.9,2,Morning/Evening,36.3,63.0,Moderate,0,Normal,16.2,No Risk,0,0
REC-00036,FARM-041,COW-253,Jersey,6.3,4,152,0,No previous mastitis,Up to date,Antibiotic treatment,11.56,230525,5.93,38.71,38.81,38.13,90.8,479.0,5.6,54.2,6.5,6.7,9.0,6.2,6.5,2,Morning/Noon/Evening,37.4,59.5,Moderate,0,Normal,8.5,No Risk,0,0
REC-00037,FARM-046,COW-236,Jersey,5.9,4,249,0,No previous mastitis,Partially up to date,None,12.82,145997,5.9,38.24,38.44,37.78,110.0,621.0,6.6,82.8,6.3,6.0,6.0,6.9,10.0,2,Morning/Evening,27.7,50.8,Low,0,Normal,9.0,No Risk,0,0
REC-00038,FARM-050,COW-345,Murrah Buffalo,4.8,1,107,0,No previous mastitis,Partially up to date,None,10.44,82817,4.62,38.98,39.12,37.97,74.5,426.0,9.3,60.5,6.1,9.4,7.1,7.5,7.8,2,Morning/Noon/Evening,23.8,73.0,Low,0,Normal,14.6,No Risk,0,0
REC-00039,FARM-015,COW-049,Jersey Cross,5.7,3,159,0,No previous mastitis,Partially up to date,None,15.03,215607,4.3,37.98,37.96,37.62,72.7,416.0,7.7,85.4,8.2,6.5,8.9,10.0,5.3,2,Morning/Evening,25.2,91.2,Moderate,1,Normal,19.9,No Risk,0,0
REC-00040,FARM-042,COW-475,Gir,4.2,4,5,0,No previous mastitis,Up to date,Antibiotic treatment,12.37,172150,5.51,38.55,38.57,37.89,70.1,587.0,5.5,50.9,5.2,5.4,6.0,7.2,7.1,2,Morning/Evening,29.2,64.4,Low,0,Intermittent,5.8,No Risk,0,0
REC-00041,FARM-007,COW-059,Murrah Buffalo,3.9,3,193,0,No previous mastitis,Up to date,None,6.52,500260,5.9,38.52,38.6,37.91,82.6,523.0,8.2,76.6,5.7,6.5,8.1,8.5,6.0,2,Morning/Evening,22.7,84.5,Moderate,0,Normal,13.2,No Risk,0,0
REC-00042,FARM-040,COW-170,HF Cross,3.4,2,165,0,No previous mastitis,Up to date,None,20.04,303323,5.12,38.39,38.55,37.55,89.8,528.0,6.0,62.1,8.4,7.6,8.9,9.0,8.4,3,Morning/Evening,31.3,75.0,Moderate,0,Normal,4.0,No Risk,0,0
REC-00043,FARM-028,COW-476,Sahiwal,3.4,2,94,0,No previous mastitis,Up to date,None,9.53,384945,4.47,38.41,38.56,37.82,88.6,439.0,6.4,68.2,7.1,6.0,7.2,5.2,8.3,2,Morning/Evening,28.1,66.1,Low,0,Normal,18.8,No Risk,0,0
REC-00044,FARM-032,COW-188,Jersey Cross,6.2,1,288,0,No previous mastitis,Up to date,None,9.97,104807,5.34,38.48,38.58,37.48,52.2,440.0,6.8,81.9,6.0,7.8,7.6,8.6,6.3,2,Morning/Evening,30.6,91.4,Moderate,0,Normal,18.1,No Risk,0,0
REC-00045,FARM-035,COW-464,Holstein Friesian,4.7,2,194,1,Previous mastitis,Up to date,None,15.01,281491,4.91,38.46,38.48,37.37,72.2,395.0,6.7,63.3,8.0,7.1,9.1,10.0,7.1,2,Morning/Evening,30.8,47.3,Moderate,0,Normal,10.0,No Risk,0,0
REC-00046,FARM-015,COW-271,HF Cross,4.0,2,290,0,No previous mastitis,Up to date,None,10.36,218774,5.63,38.34,38.3,,72.9,508.0,8.6,66.9,7.1,7.8,5.2,5.2,6.3,2,Morning/Evening,35.2,69.7,Moderate,0,Normal,11.2,No Risk,0,0
REC-00047,FARM-048,COW-190,HF Cross,2.7,3,236,0,No previous mastitis,Overdue,None,9.98,91972,5.01,38.52,38.59,37.52,89.8,590.0,7.5,64.6,7.7,9.3,8.9,8.7,7.8,2,Morning/Evening,31.9,63.8,Moderate,0,Normal,13.6,No Risk,0,0
REC-00048,FARM-036,COW-446,Holstein Friesian,6.4,5,29,0,No previous mastitis,Up to date,None,23.26,111070,5.29,38.38,38.7,37.84,73.7,390.0,6.2,61.3,7.7,4.5,4.4,6.9,6.4,2,Morning/Evening,30.3,71.8,Moderate,0,Normal,6.5,No Risk,0,0
REC-00049,FARM-021,COW-175,HF Cross,7.1,5,118,0,No previous mastitis,Partially up to date,None,13.6,109700,6.17,38.31,38.39,37.86,89.2,537.0,5.3,62.3,7.1,6.6,6.2,7.3,7.3,2,Morning/Noon/Evening,30.1,54.1,Moderate,0,Normal,9.9,No Risk,0,0
REC-00050,FARM-006,COW-446,HF Cross,3.4,5,133,0,No previous mastitis,Up to date,None,13.64,133953,5.5,38.69,38.59,37.7,100.7,511.0,7.5,46.5,6.3,5.9,10.0,8.6,8.0,2,Morning/Evening,20.1,77.7,Moderate,0,Normal,4.3,No Risk,0,0
REC-00051,FARM-001,COW-051,Jersey,5.0,2,158,0,No previous mastitis,Up to date,None,11.26,217676,5.89,39.27,39.25,38.15,79.5,490.0,8.2,58.5,7.0,6.1,8.5,6.8,7.6,3,Morning/Evening,29.8,48.5,Low,0,Normal,8.0,No Risk,0,0
REC-00052,FARM-004,COW-364,Jersey,3.5,1,107,1,Previous mastitis,Up to date,Anti-inflammatory treatment,9.49,366169,,38.38,38.48,37.97,66.5,531.0,6.3,68.4,7.8,7.4,7.0,6.6,7.0,2,Morning/Evening,31.8,75.7,Moderate,0,Normal,19.4,No Risk,0,0
REC-00053,FARM-011,COW-055,Jersey,4.9,4,173,0,No previous mastitis,Up to date,Antibiotic treatment,11.57,168536,6.07,38.74,38.78,37.28,55.5,400.0,7.5,47.9,7.9,7.2,10.0,6.1,8.0,3,Morning/Evening,28.5,62.0,Low,1,Normal,23.4,Low Risk,0,0
REC-00054,FARM-044,COW-244,Jersey,6.3,1,146,0,No previous mastitis,Partially up to date,None,7.02,142868,5.11,39.11,39.19,37.43,90.6,523.0,6.5,79.4,7.8,4.7,5.2,9.4,4.6,2,Morning/Evening,36.5,73.5,High,0,Normal,23.2,Low Risk,0,0
REC-00055,FARM-026,COW-320,HF Cross,8.1,4,267,0,No previous mastitis,Up to date,None,15.72,172419,5.34,38.47,38.52,38.52,79.5,489.0,7.1,57.0,7.0,5.4,7.8,8.5,7.2,2,Morning/Noon/Evening,22.3,59.5,Low,0,Normal,3.7,No Risk,0,0
REC-00056,FARM-037,COW-131,Jersey Cross,4.4,1,260,0,No previous mastitis,Up to date,None,12.55,152511,5.71,38.81,38.77,37.79,70.2,500.0,8.0,75.1,7.8,8.9,6.8,4.3,6.5,2,Morning/Evening,25.7,57.8,Low,0,Normal,5.0,No Risk,0,0
REC-00057,FARM-023,COW-485,Holstein Friesian,6.5,3,46,0,No previous mastitis,Overdue,None,20.69,116901,5.0,38.86,38.8,37.87,103.2,470.0,5.9,57.9,5.5,5.1,7.0,10.0,6.9,2,Morning/Noon/Evening,26.1,87.1,Moderate,0,Normal,8.0,No Risk,0,0
REC-00058,FARM-029,COW-307,Murrah Buffalo,6.5,4,309,1,Previous mastitis,Up to date,None,3.0,89251,5.26,38.56,38.49,37.37,93.0,616.0,5.4,54.3,7.9,8.2,8.2,9.2,8.6,3,Morning/Evening,29.0,88.4,Moderate,1,Normal,48.6,Moderate Risk,0,0
REC-00059,FARM-021,COW-135,Sahiwal,4.9,3,152,0,No previous mastitis,Up to date,Anti-inflammatory treatment,7.49,172177,5.57,38.12,38.06,38.64,86.7,467.0,7.5,62.5,8.5,4.3,8.0,4.6,9.2,2,Morning/Evening,26.1,54.3,Low,0,Normal,23.4,Low Risk,0,0
REC-00060,FARM-048,COW-021,Jersey Cross,7.3,5,136,0,No previous mastitis,Up to date,Supportive treatment,16.19,141276,5.8,39.04,39.05,37.6,64.7,420.0,8.4,56.3,3.4,4.8,7.2,8.4,8.6,2,Morning/Evening,23.4,69.9,Low,0,Normal,10.9,No Risk,0,0
REC-00061,FARM-045,COW-329,Gir,4.6,3,216,1,Previous mastitis,Up to date,Supportive treatment,3.0,199383,6.16,38.85,38.82,,72.9,462.0,8.3,59.1,8.8,8.0,8.2,4.1,8.9,2,Morning/Evening,27.4,77.3,Moderate,0,Normal,69.0,High Risk,0,0
REC-00062,FARM-045,COW-167,HF Cross,6.0,2,134,0,No previous mastitis,Up to date,None,18.53,114113,5.28,38.94,38.91,37.86,48.5,461.0,7.7,83.5,9.4,9.4,9.2,7.3,6.4,2,Morning/Evening,33.6,67.2,Moderate,0,Normal,7.5,No Risk,0,0
REC-00063,FARM-049,COW-274,Jersey,4.2,3,224,0,No previous mastitis,Partially up to date,None,9.98,179358,4.92,38.22,38.31,38.1,83.8,427.0,6.4,49.2,8.0,8.6,7.5,6.9,4.6,3,Morning/Evening,32.4,67.6,Moderate,0,Normal,15.3,No Risk,0,0
REC-00064,FARM-027,COW-388,Murrah Buffalo,6.2,2,231,0,No previous mastitis,Up to date,None,4.76,156608,5.72,38.41,38.47,38.0,87.1,551.0,4.8,41.4,4.6,6.4,8.3,8.2,8.0,2,Morning/Evening,25.9,76.7,Moderate,0,Normal,27.3,Low Risk,0,0
REC-00065,FARM-039,COW-089,Jersey,6.0,1,201,0,No previous mastitis,Up to date,None,9.95,248855,5.68,39.13,39.22,37.86,82.6,520.0,7.4,79.0,7.5,6.1,7.4,9.4,6.5,2,Morning/Evening,27.3,74.6,Low,0,Normal,17.4,No Risk,1,11
REC-00066,FARM-040,COW-316,Other,7.3,1,18,0,No previous mastitis,Partially up to date,None,8.0,79807,4.74,38.7,38.76,37.7,92.4,435.0,7.3,80.3,6.4,7.8,6.2,7.5,6.3,2,Morning/Evening,25.5,62.6,Low,0,Normal,14.2,No Risk,0,0
REC-00067,FARM-013,COW-014,Jersey Cross,8.5,1,204,0,No previous mastitis,Up to date,Antibiotic treatment,6.61,372261,6.64,39.15,39.17,37.78,82.5,505.0,5.9,58.1,7.5,4.8,7.1,8.0,6.3,2,Morning/Evening,23.3,74.3,Low,0,Normal,34.2,Low Risk,0,0
REC-00068,FARM-023,COW-242,Holstein Friesian,6.8,4,134,0,No previous mastitis,Up to date,None,21.8,335222,5.79,39.17,39.19,37.79,76.5,446.0,6.4,77.9,7.9,7.9,8.1,7.7,5.6,2,Morning/Evening,30.9,64.8,Moderate,0,Normal,7.9,No Risk,0,0
REC-00069,FARM-016,COW-265,HF Cross,6.4,5,108,0,No previous mastitis,Up to date,None,18.16,244006,4.68,38.21,38.26,38.39,92.6,462.0,6.0,48.2,8.3,6.4,4.2,5.5,8.3,3,Morning/Evening,23.2,63.7,Low,0,Normal,4.8,No Risk,0,0
REC-00070,FARM-030,COW-346,HF Cross,4.5,4,1,0,No previous mastitis,Up to date,None,18.13,47124,5.58,38.53,38.48,37.43,77.4,381.0,3.6,87.2,7.7,9.6,7.5,6.5,8.6,3,Morning/Evening,32.0,59.2,Moderate,0,Normal,9.6,No Risk,0,0
REC-00071,FARM-004,COW-053,Jersey,2.0,3,15,0,No previous mastitis,Up to date,Anti-inflammatory treatment,16.57,168828,5.22,38.4,38.6,37.75,81.0,503.0,7.4,79.4,7.1,7.6,8.1,10.0,5.3,2,Morning/Evening,37.2,59.2,Moderate,0,Normal,4.8,No Risk,0,0
REC-00072,FARM-040,COW-386,HF Cross,7.5,4,142,1,Previous mastitis,Partially up to date,None,18.97,152618,6.56,37.98,38.07,38.26,81.8,487.0,5.5,69.6,9.3,6.9,7.2,6.3,9.0,2,Morning/Evening,30.7,71.1,Moderate,0,Normal,13.8,No Risk,0,0
REC-00073,FARM-016,COW-340,Gir,8.5,1,77,1,Previous mastitis,Up to date,None,10.82,225686,6.26,38.83,38.99,38.15,89.3,352.0,5.0,72.9,6.3,7.5,5.5,8.6,7.0,3,Morning/Evening,31.8,49.6,Moderate,1,Normal,50.0,Moderate Risk,0,0
REC-00074,FARM-031,COW-092,HF Cross,5.8,3,174,0,No previous mastitis,Up to date,None,17.9,159884,5.36,38.27,38.19,37.92,84.2,454.0,6.2,42.9,5.7,6.7,8.1,5.6,8.5,2,Morning/Noon/Evening,31.7,49.3,Moderate,0,Normal,4.7,No Risk,0,0
REC-00075,FARM-042,COW-367,Holstein Friesian,3.4,4,111,1,Previous mastitis,Up to date,None,23.45,289769,6.16,38.54,38.66,37.67,85.0,523.0,4.6,76.0,7.0,7.9,6.0,6.1,5.9,2,Morning/Noon/Evening,26.8,66.0,Low,1,Normal,14.5,No Risk,0,0
REC-00076,FARM-025,COW-444,HF Cross,7.7,1,117,0,No previous mastitis,Partially up to date,None,17.44,247828,5.62,37.73,37.82,37.62,48.9,531.0,6.6,69.8,6.9,5.9,9.7,7.4,9.9,3,Morning/Evening,30.7,68.0,Moderate,0,Normal,7.8,No Risk,0,0
REC-00077,FARM-044,COW-455,Murrah Buffalo,7.2,4,41,0,No previous mastitis,Up to date,Supportive treatment,7.66,177895,5.9,38.8,38.85,37.95,69.6,513.0,5.6,63.1,6.3,8.8,8.7,7.6,6.2,2,Morning/Evening,30.4,55.4,Moderate,0,Normal,25.7,Low Risk,0,0
REC-00078,FARM-012,COW-428,Jersey Cross,2.0,7,6,0,No previous mastitis,Partially up to date,None,14.59,138260,5.34,39.12,39.1,37.8,60.0,456.0,6.8,59.9,8.1,6.7,7.4,5.9,6.9,2,Morning/Evening,26.2,89.0,Moderate,0,Normal,6.0,No Risk,1,14
REC-00079,FARM-026,COW-264,Jersey Cross,5.5,4,276,0,No previous mastitis,Partially up to date,Antibiotic treatment,10.46,439313,4.75,38.76,38.77,37.56,96.5,395.0,6.6,53.9,6.7,8.4,6.6,4.1,7.1,2,Morning/Evening,18.0,59.1,Low,0,Normal,16.3,No Risk,0,0
REC-00080,FARM-037,COW-431,Other,5.6,4,68,0,No previous mastitis,Up to date,None,7.83,341877,5.28,38.54,38.54,37.34,64.2,425.0,6.9,69.7,8.3,8.3,4.7,9.3,7.1,2,Morning/Evening,24.3,60.1,Low,0,Normal,16.1,No Risk,0,0
REC-00081,FARM-048,COW-035,HF Cross,2.3,3,296,0,No previous mastitis,Up to date,None,15.23,75854,6.55,38.96,38.95,37.82,71.5,421.0,6.0,55.2,5.3,7.4,9.9,6.1,8.2,2,Morning/Evening,24.8,59.1,Low,0,Normal,15.6,No Risk,1,14
REC-00082,FARM-033,COW-206,HF Cross,3.3,1,104,0,No previous mastitis,Up to date,Supportive treatment,15.85,68781,5.84,38.83,38.86,,104.2,489.0,7.2,49.8,6.4,8.2,6.1,7.6,4.7,2,Morning/Evening,31.3,79.4,Moderate,0,Normal,8.1,No Risk,0,0
REC-00083,FARM-028,COW-081,Sahiwal,7.2,2,127,0,No previous mastitis,Up to date,Supportive treatment,10.91,84382,5.66,38.49,38.49,37.81,81.2,483.0,5.7,60.0,8.7,6.5,9.7,6.7,6.7,2,Morning/Evening,22.3,88.4,Moderate,0,Normal,6.5,No Risk,0,0
REC-00084,FARM-009,COW-420,Gir,5.3,4,74,0,No previous mastitis,Up to date,None,6.37,143705,5.71,39.32,39.2,37.88,102.2,578.0,6.9,72.2,6.7,8.2,3.5,6.3,8.6,2,Morning/Noon/Evening,37.4,56.4,Moderate,0,Normal,25.0,Low Risk,0,0
REC-00085,FARM-012,COW-050,Holstein Friesian,3.5,4,125,1,Previous mastitis,Partially up to date,None,25.5,258714,5.52,38.54,38.64,38.01,69.9,430.0,7.9,70.7,6.4,4.8,6.9,6.5,6.8,3,Morning/Evening,36.3,78.1,High,0,Normal,26.5,Low Risk,0,0
REC-00086,FARM-005,COW-360,Jersey,4.0,2,258,0,No previous mastitis,Up to date,Supportive treatment,8.6,64953,5.58,38.98,39.01,37.56,51.0,561.0,7.1,66.0,9.3,5.6,6.1,8.3,5.2,3,Morning/Noon/Evening,33.7,71.2,High,0,Normal,17.2,No Risk,0,0
REC-00087,FARM-028,COW-388,Gir,3.0,4,300,0,No previous mastitis,Up to date,None,3.0,334058,5.61,38.8,38.88,37.87,92.6,494.0,7.8,69.6,9.2,6.9,5.4,8.1,6.3,2,Morning/Noon/Evening,26.7,58.9,Low,0,Normal,22.9,Low Risk,0,0
REC-00088,FARM-035,COW-002,Holstein Friesian,5.3,2,309,0,No previous mastitis,Partially up to date,None,19.22,87675,5.01,38.78,38.77,38.35,82.7,498.0,9.0,44.2,5.9,4.4,7.5,9.7,9.2,2,Morning/Evening,19.6,71.2,Low,0,Normal,5.7,No Risk,0,0
